date_heure_passage,numero_plaque
2026-02-09 12:30:32,BT904CF
2026-02-09 12:30:39,819A1769
2026-02-09 12:30:40,BX683MR
2026-02-09 12:30:43,EJ567GF
2026-02-09 12:30:46,80117SK
2026-02-09 12:31:06,CM665SC
2026-02-09 12:31:16,ON64800
2026-02-09 12:31:26,DX286FM
2026-02-09 12:31:34,FH543QE
2026-02-09 12:31:34,F11543CE
2026-02-09 12:31:50,FA539EK
2026-02-09 12:31:51,FN539EK
2026-02-09 12:31:53,CS920MH
2026-02-09 12:32:18,FV639AY
2026-02-09 12:32:32,EN5350E
2026-02-09 12:32:45,EV075VW
2026-02-09 12:32:48,DR388NH
2026-02-09 12:32:49,AY367YR
2026-02-09 12:32:51,ET801FD
2026-02-09 12:32:58,DF631AP
2026-02-09 12:34:04,D0517MF
2026-02-09 12:34:08,FJ822ZH
2026-02-09 12:34:15,EZ667JZ
2026-02-09 12:34:20,GT559XK
2026-02-09 12:34:44,FT954LG
2026-02-09 12:34:52,FA1571G
2026-02-09 12:34:54,ES114AA
2026-02-09 12:34:58,CA799JE
2026-02-09 12:35:05,EV720HP
2026-02-09 12:35:10,AS262SM
2026-02-09 12:35:12,FJ144HL
2026-02-09 12:35:43,CT350VH
2026-02-09 12:36:06,DL967VJ
2026-02-09 12:36:08,DT045BV
2026-02-09 12:36:49,CI055XA
2026-02-09 12:37:05,AW817MW
2026-02-09 12:37:08,EF696MW
2026-02-09 12:37:12,GJ272WJ
2026-02-09 12:37:31,FV093BP
2026-02-09 12:37:34,218AFM69
2026-02-09 12:37:36,EW807RJ
2026-02-09 12:37:39,FF501GP
2026-02-09 12:37:43,FK739CT
2026-02-09 12:38:12,GJ905FH
2026-02-09 12:38:14,FD418BW
2026-02-09 12:38:18,GH422TV
2026-02-09 12:38:23,ET258VH
2026-02-09 12:38:31,EH667CB
2026-02-09 12:39:18,GT675TG
2026-02-09 12:39:19,GC411LT
2026-02-09 12:39:21,FZ451JD
2026-02-09 12:39:34,GP622QH
2026-02-09 12:40:06,FB589AH
2026-02-09 12:40:26,BY311DJ
2026-02-09 12:40:28,BL4420C
2026-02-09 12:40:35,AW401RM
2026-02-09 12:40:37,FF986KS
2026-02-09 12:40:48,CF985PE
2026-02-09 12:41:00,EX968HC
2026-02-09 12:41:14,BR234JA
2026-02-09 12:41:24,FF079MR
2026-02-09 12:41:32,AP889ZM
2026-02-09 12:41:41,FC245JC
2026-02-09 12:41:46,GK515SJ
2026-02-09 12:41:52,FH995HK
2026-02-09 12:41:53,EL262TX
2026-02-09 12:41:56,GP817EB
2026-02-09 12:42:20,EK749YQ
2026-02-09 12:42:55,GC355FB
2026-02-09 12:43:48,GR370PZ
2026-02-09 12:44:24,GR608VJ
2026-02-09 12:44:35,BM117MW
2026-02-09 12:44:37,GM295JJ
2026-02-09 12:45:00,EV881MV
2026-02-09 12:45:12,EV250WH
2026-02-09 12:45:16,FN022RN
2026-02-09 12:45:28,GL632AH
2026-02-09 12:45:46,FP058LP
2026-02-09 12:46:06,GS547YL
2026-02-09 12:46:13,FC563SP
2026-02-09 12:46:23,FW589BK
2026-02-09 12:46:34,CZ273NE
2026-02-09 12:46:36,GF159HH
2026-02-09 12:46:37,FP508GE
2026-02-09 12:46:42,GA640KY
2026-02-09 12:46:43,CZ796ZQ
2026-02-09 12:46:46,ET665GC
2026-02-09 12:46:47,AV353AK
2026-02-09 12:47:04,CZ286AA
2026-02-09 12:47:16,FZ442FG
2026-02-09 12:47:34,EN417YL
2026-02-09 12:47:49,FN936VS
2026-02-09 12:48:01,DZ712ES
2026-02-09 12:48:11,EV909KX
2026-02-09 12:48:26,CX367VW
2026-02-09 12:48:31,EV396RK
2026-02-09 12:48:33,FV230EX
2026-02-09 12:48:35,CJ023GF
2026-02-09 12:48:46,GB345JP
2026-02-09 12:48:50,BOB22RF
2026-02-09 12:48:57,FW950TR
2026-02-09 12:49:09,GM122KH
2026-02-09 12:49:10,GH122KH
2026-02-09 12:49:18,DZ739VL
2026-02-09 12:49:20,OC304WY
2026-02-09 12:49:25,ER709DB
2026-02-09 12:49:27,GA6BBXK
2026-02-09 12:49:38,GH800CV
2026-02-09 12:49:48,FX6670Y
2026-02-09 12:50:27,GB295AF
2026-02-09 12:50:28,GR380YM
2026-02-09 12:50:30,ES396FK
2026-02-09 12:50:40,CZ897AE
2026-02-09 12:50:42,CY945LZ
2026-02-09 12:50:44,GC841ZX
2026-02-09 12:50:48,CR412VR
2026-02-09 12:50:54,ET275NG
2026-02-09 12:50:56,CL295RK
2026-02-09 12:51:30,BN062NF
2026-02-09 12:51:35,DM779EF
2026-02-09 12:51:36,CN356QY
2026-02-09 12:51:37,8A1291P
2026-02-09 12:51:38,DE458TT
2026-02-09 12:51:40,CA787RC
2026-02-09 12:51:50,EB109WN
2026-02-09 12:51:54,FG690VJ
2026-02-09 12:52:04,CG730KX
2026-02-09 12:52:06,CP420DG
2026-02-09 12:52:10,CD262WG
2026-02-09 12:52:10,CD262WO
2026-02-09 12:52:16,FS950FT
2026-02-09 12:53:21,DC586AL
2026-02-09 12:53:46,BD272DE
2026-02-09 12:54:15,DB941KT
2026-02-09 12:54:33,GP491YT
2026-02-09 12:54:42,BN461MP
2026-02-09 12:54:44,F094800
2026-02-09 12:54:46,EX216NS
2026-02-09 12:54:49,EV674GN
2026-02-09 12:55:13,EC617GM
2026-02-09 12:55:19,DJ632FS
2026-02-09 12:55:28,D0999ZV
2026-02-09 12:55:36,FR506RE
2026-02-09 12:55:38,GM133FS
2026-02-09 12:56:36,FK491SC
2026-02-09 12:56:44,EA536SV
2026-02-09 12:56:48,BD368NV
2026-02-09 12:56:59,BJ775JN
2026-02-09 12:57:19,CV998HP
2026-02-09 12:57:43,AN876TR
2026-02-09 12:58:29,DG621NX
2026-02-09 12:58:30,EN044NW
2026-02-09 12:58:34,DY958WN
2026-02-09 12:58:42,CE503XT
2026-02-09 12:58:45,DR834XW
2026-02-09 12:58:46,GK093PX
2026-02-09 12:59:20,EX8370S
2026-02-09 12:59:21,EX837OS
2026-02-09 12:59:22,DM138BJ
2026-02-09 12:59:22,EA514AZ
2026-02-09 12:59:27,GH391HY
2026-02-09 12:59:35,GH321RY
2026-02-09 12:59:36,FR682WT
2026-02-09 12:59:47,ASH461VC
2026-02-09 12:59:48,FM935NB
2026-02-09 12:59:52,GB665XL
2026-02-09 12:59:57,GC992J0
