date_heure_passage,numero_plaque,format
2026-02-18 00:00:43,GM-870-VD,SIV
2026-02-18 00:00:57,DD-526-RG,SIV
2026-02-18 00:01:03,GE-637-JV,SIV
2026-02-18 00:01:11,FQ-361-KQ,SIV
2026-02-18 00:01:20,DC-925-QR,SIV
2026-02-18 00:01:49,GG-441-HR,SIV
2026-02-18 00:02:35,CL-226-ZS,SIV
2026-02-18 00:02:41,GQ-610-AK,SIV
2026-02-18 00:03:01,GB-323-AZ,SIV
2026-02-18 00:03:08,GK-081-RH,SIV
2026-02-18 00:03:13,HC-620-BR,SIV
2026-02-18 00:04:13,GK0281PUN,UNKNOWN
2026-02-18 00:04:43,DK-541-JK,SIV
