date_heure_passage,numero_plaque,format
2026-02-11 05:29:01,EL-465-YL,SIV
2026-02-11 05:29:20,GH-043-DZ,SIV
2026-02-11 05:29:25,PQ20 CXJ,UK
2026-02-11 05:29:28,DY-194-CD,SIV
2026-02-11 05:29:29,FE-553-GQ,SIV
2026-02-11 05:29:31,EF-694-LK,SIV
2026-02-11 05:30:06,CF-361-VP,SIV
2026-02-11 05:30:18,CC-051-BP,SIV
2026-02-11 05:30:22,ONCEVER,UNKNOWN
2026-02-11 05:30:23,HB-871-AJ,SIV
2026-02-11 05:30:30,CL-568-XE,SIV
2026-02-11 05:30:38,EB-984-QQ,SIV
2026-02-11 05:31:23,CK-365-CE,SIV
2026-02-11 05:31:26,EZ-029-FP,SIV
2026-02-11 05:31:33,EF2611*,UNKNOWN
2026-02-11 05:31:48,AH-488-HH,SIV
2026-02-11 05:31:58,AB-319-SQ,SIV
2026-02-11 05:32:02,CT-168-FY,SIV
2026-02-11 05:32:26,GN-935-KS,SIV
2026-02-11 05:32:48,EH6L7X*,UNKNOWN
2026-02-11 05:32:58,GP-994-AB,SIV
2026-02-11 05:33:34,GX55 TVM,UK
2026-02-11 05:33:58,GZ-578-CJ,SIV
2026-02-11 05:34:09,DN-783-JM,SIV
2026-02-11 05:34:12,AB-378-DE,SIV
2026-02-11 05:34:21,AT-114-YH,SIV
2026-02-11 05:34:21,AGUESS*,UNKNOWN
2026-02-11 05:34:34,GC-236-GG,SIV
2026-02-11 05:34:36,FF625WW04,UNKNOWN
2026-02-11 05:35:06,HE-308-VM,SIV
2026-02-11 05:35:14,ZL-001-GS,SIV
2026-02-11 05:35:35,DP24FT*,UNKNOWN
2026-02-11 05:35:37,EC-659-YS,SIV
2026-02-11 05:35:46,DL-661-SW,SIV
2026-02-11 05:36:02,CW-412-ZK,SIV
2026-02-11 05:36:31,CJ-353-PY,SIV
2026-02-11 05:36:34,EA-407-LD,SIV
2026-02-11 05:36:35,HA-288-VN,SIV
2026-02-11 05:36:40,DF-180-CZ,SIV
2026-02-11 05:36:42,518GW**,UNKNOWN
2026-02-11 05:37:16,FX-299-WT,SIV
2026-02-11 05:38:45,ES-374-ZY,SIV
2026-02-11 05:38:47,CW-602-WB,SIV
2026-02-11 05:38:48,TMV546*,UNKNOWN
2026-02-11 05:38:53,FP-272-BZ,SIV
2026-02-11 05:38:58,EQ-103-TV,SIV
2026-02-11 05:39:46,FK-186-FC,SIV
2026-02-11 05:39:52,GV-762-BQ,SIV
2026-02-11 05:39:52,QY-783-BY,SIV
2026-02-11 05:39:53,ADASDEAS,UNKNOWN
2026-02-11 05:40:57,4L2011*,UNKNOWN
2026-02-11 05:41:05,QJ-712-JE,SIV
2026-02-11 05:41:23,EK-193-KY,SIV
2026-02-11 05:41:49,EN-143-PH,SIV
2026-02-11 05:41:53,GZ-882-EY,SIV
2026-02-11 05:41:56,EM-511-EC,SIV
2026-02-11 05:42:25,CJ-447-AJ,SIV
2026-02-11 05:42:32,GB-753-ZS,SIV
2026-02-11 05:42:32,JILY755,UNKNOWN
2026-02-11 05:42:50,HW7W8D*,UNKNOWN
2026-02-11 05:42:50,CONVEYED,UNKNOWN
2026-02-11 05:42:55,CM61 GBM,UK
2026-02-11 05:42:58,CW-633-TA,SIV
2026-02-11 05:43:26,AM548972,UNKNOWN
2026-02-11 05:43:37,QJ-712-JE,SIV
2026-02-11 05:43:50,AT-423-FR,SIV
2026-02-11 05:43:53,UFUUGFF,UNKNOWN
2026-02-11 05:44:16,FL-681-QP,SIV
2026-02-11 05:44:16,FC6817WC,UNKNOWN
2026-02-11 05:44:21,GB-753-ZS,SIV
2026-02-11 05:44:25,ML-765-BR,SIV
2026-02-11 05:44:25,GS-601-LE,SIV
2026-02-11 05:44:59,X2460T*,UNKNOWN
2026-02-11 05:45:02,GK-767-DK,SIV
2026-02-11 05:45:28,GQ-400-WW,SIV
2026-02-11 05:45:38,EK-384-YX,SIV
2026-02-11 05:45:38,X46473*,UNKNOWN
2026-02-11 05:46:38,GB-055-ES,SIV
2026-02-11 05:46:46,BG-912-RN,SIV
2026-02-11 05:47:02,BK-515-HG,SIV
2026-02-11 05:47:03,FF-285-SW,SIV
2026-02-11 05:47:09,UM29N**,UNKNOWN
2026-02-11 05:47:19,AH-802-TL,SIV
2026-02-11 05:48:03,FB-040-JH,SIV
2026-02-11 05:48:04,IN01 IJN,UK
2026-02-11 05:48:09,BG-493-SR,SIV
2026-02-11 05:48:12,FL-154-PZ,SIV
2026-02-11 05:48:35,5W1Y145G,UNKNOWN
2026-02-11 05:48:35,MARKDOWN,UNKNOWN
2026-02-11 05:49:01,AJ-197-VS,SIV
2026-02-11 05:49:09,BX-189-LL,SIV
2026-02-11 05:49:15,GC-461-RB,SIV
2026-02-11 05:49:37,EE-230-HD,SIV
2026-02-11 05:49:37,LH-414-LP,SIV
2026-02-11 05:49:40,CRB18Y*,UNKNOWN
2026-02-11 05:49:56,DF-590-RR,SIV
2026-02-11 05:50:06,GQ-421-NX,SIV
