filename,expected,predicted,correct,cer,wer,time_ms
041HN.jpg,041HN,041HN,1,0.0,0.0,25892.6
065CF.jpg,065CF,065CF,1,0.0,0.0,153.0
084LK.jpg,084LK,084LK,1,0.0,0.0,26.9
10FT07.jpg,10FT07,10FT07,1,0.0,0.0,28.3
10FT07_1.jpg,10FT07,10FT07,1,0.0,0.0,25.5
10FT07_2.jpg,10FT07,10FT07,1,0.0,0.0,40.6
115FT.jpg,115FT,115FT,1,0.0,0.0,25.6
1474DPG.jpg,1474DPG,1474DPG,1,0.0,0.0,26.9
1474DPG_1.jpg,1474DPG,1474DPG,1,0.0,0.0,26.8
170ZW.jpg,170ZW,170ZW,1,0.0,0.0,26.0
1903ZD69.jpg,1903ZD69,1903ZD69,1,0.0,0.0,30.4
1928KS69.jpg,1928KS69,1928XS69,0,0.125,1.0,30.9
1928KS69_1.jpg,1928KS69,1928XS65,0,0.25,1.0,30.6
1945SL69.jpg,1945SL69,1945SL69,1,0.0,0.0,30.2
1945SL69_1.jpg,1945SL69,1945SL69,1,0.0,0.0,29.3
20160232.jpg,20160232,20R1023JZ,0,0.5,1.0,30.6
217AK.jpg,217AK,17AK,0,0.2,1.0,24.2
218AFM69.jpg,218AFM69,218AFM69,1,0.0,0.0,27.5
230BJE69.jpg,230BJE69,230BJE69,1,0.0,0.0,30.3
2750XW69.jpg,2750XW69,2750XW69,1,0.0,0.0,29.9
2750XW69_1.jpg,2750XW69,2750XW69,1,0.0,0.0,29.8
288BJJ69.jpg,288BJJ69,1288BJJ69,0,0.125,1.0,31.1
316ZC.jpg,316ZC,316ZC,1,0.0,0.0,25.2
32TX.jpg,32TX,32TX,1,0.0,0.0,24.8
351AGW69.jpg,351AGW69,351AGW69,1,0.0,0.0,29.7
3778WP69.jpg,3778WP69,3778WP69,1,0.0,0.0,30.3
3778WP69_1.jpg,3778WP69,3778WP69,1,0.0,0.0,30.3
414TA53.jpg,414TA53,414TA53,1,0.0,0.0,26.9
4353SZ53.jpg,4353SZ53,4353SZ53,1,0.0,0.0,28.8
438YY.jpg,438YY,438YY,1,0.0,0.0,24.5
43980687.jpg,43980687,13980687,0,0.125,1.0,29.3
464ZN69.jpg,464ZN69,464ZN69,1,0.0,0.0,29.2
464ZN69_1.jpg,464ZN69,464ZN69,1,0.0,0.0,28.9
466NT.jpg,466NT,488NT,0,0.4,1.0,24.9
520ANV69.jpg,520ANV69,520ANV69,1,0.0,0.0,29.7
542DHK38.jpg,542DHK38,542DHK38,1,0.0,0.0,29.2
549FP.jpg,549FP,549FP,1,0.0,0.0,26.5
600AWQ69.jpg,600AWQ69,600AWQ69,1,0.0,0.0,28.1
6039SG53.jpg,6039SG53,6039SG53,1,0.0,0.0,28.1
6044RJ69.jpg,6044RJ69,6044RJ69,1,0.0,0.0,30.6
628AVM69.jpg,628AVM69,628AVM69,1,0.0,0.0,30.3
66RE.jpg,66RE,66RE,1,0.0,0.0,24.4
68MC.jpg,68MC,68MC,1,0.0,0.0,23.5
6CK.jpg,6CK,GCK,0,0.3333,1.0,23.9
6H787GJ.jpg,6H787GJ,GH787GJ,0,0.1429,1.0,26.6
7090100.jpg,7090100,7090100,1,0.0,0.0,30.3
7090100_1.jpg,7090100,7090100,1,0.0,0.0,29.9
762CB.jpg,762CB,762CB,1,0.0,0.0,24.0
790RS.jpg,790RS,790RS,1,0.0,0.0,25.2
794BBG69.jpg,794BBG69,794BBG69,1,0.0,0.0,27.5
80117SM.jpg,80117SM,80117SH,0,0.1429,1.0,28.4
808AJF69.jpg,808AJF69,808AJF69,1,0.0,0.0,27.5
808AJF69_1.jpg,808AJF69,808AJF69,1,0.0,0.0,30.2
8097YS4.jpg,8097YS4,8097YS4,1,0.0,0.0,27.4
819ATZ69.jpg,819ATZ69,819A1769,0,0.25,1.0,30.1
